Date,Trump Mentions
6/14/15,23
6/15/15,14
6/16/15,925
6/17/15,934
6/18/15,508
6/19/15,88
6/20/15,96
6/21/15,161
6/22/15,59
6/23/15,118
6/24/15,269
6/25/15,211
6/26/15,219
6/27/15,48
6/28/15,75
6/29/15,227
6/30/15,828
7/1/15,763
7/2/15,783
7/3/15,582
7/4/15,407
7/5/15,430
7/6/15,336
7/7/15,418
7/8/15,752
7/9/15,1381
7/10/15,924
7/11/15,688
7/12/15,616
7/13/15,664
7/14/15,667
7/15/15,653
7/16/15,590
7/17/15,577
7/18/15,666
7/19/15,560
7/20/15,1590
7/21/15,1893
7/22/15,1289
7/23/15,1645
7/24/15,855
7/25/15,719
7/26/15,352
7/27/15,1071
7/28/15,1275
7/29/15,938
7/30/15,953
7/31/15,968
8/1/15,287
8/2/15,548
8/3/15,351
8/4/15,2537
8/5/15,1618
8/6/15,1708
8/7/15,2284
8/8/15,1536
8/9/15,220
8/10/15,1307
8/11/15,1917
8/12/15,988
8/13/15,1231
8/14/15,782
8/15/15,653
8/16/15,787
8/17/15,1534
8/18/15,1932
8/19/15,1886
8/20/15,1303
8/21/15,1483
8/22/15,1066
8/23/15,459
8/24/15,704
8/25/15,1171
8/26/15,1968
8/27/15,1024
8/28/15,1666
8/29/15,865
8/30/15,317
8/31/15,828
9/1/15,902
9/2/15,796
9/3/15,976
9/4/15,1256
9/5/15,521
9/6/15,408
9/7/15,311
9/8/15,471
9/9/15,1149
9/10/15,1516
9/11/15,1443
9/12/15,194
9/13/15,811
9/14/15,1620
9/15/15,2291
9/16/15,3170
9/17/15,2947
9/18/15,1878
9/19/15,1190
9/20/15,681
9/21/15,915
9/22/15,760
9/23/15,353
9/24/15,653
9/25/15,329
9/26/15,234
9/27/15,139
9/28/15,635
9/29/15,886
9/30/15,800
10/1/15,621
10/2/15,118
10/3/15,374
10/4/15,358
10/5/15,449
10/6/15,687
10/7/15,1009
10/8/15,709
10/9/15,719
10/10/15,421
10/11/15,310
10/12/15,374
10/13/15,15
10/14/15,714
10/15/15,1055
10/16/15,806
10/17/15,506
10/18/15,618
10/19/15,1047
10/20/15,1586
10/21/15,1034
10/22/15,643
10/23/15,677
10/24/15,502
10/25/15,316
10/26/15,1079
10/27/15,1475
10/28/15,1422
10/29/15,1407
10/30/15,637
10/31/15,316
11/1/15,273
11/2/15,416
11/3/15,1195
11/4/15,1300
11/5/15,1061
11/6/15,587
11/7/15,368
11/8/15,526
11/9/15,562
11/10/15,1056
11/11/15,1309
11/12/15,872
11/13/15,1243
11/14/15,42
11/15/15,60
11/16/15,91
11/17/15,156
11/18/15,219
11/19/15,271
11/20/15,515
11/21/15,374
11/22/15,280
11/23/15,766
11/24/15,1187
11/25/15,692
11/26/15,614
11/27/15,303
11/28/15,262
11/29/15,508
11/30/15,801
12/1/15,1196
12/2/15,1236
12/3/15,79
12/4/15,362
12/5/15,351
12/6/15,368
12/7/15,501
12/8/15,2825
12/9/15,3919
12/10/15,2538
12/11/15,2432
12/12/15,1568
12/13/15,1153
12/14/15,1045
12/15/15,2405
12/16/15,1527
12/17/15,1239
12/18/15,811
12/19/15,999
12/20/15,1105
12/21/15,1666
12/22/15,2865
12/23/15,1884
12/24/15,428
12/25/15,251
12/26/15,281
12/27/15,512
12/28/15,1671
12/29/15,1591
12/30/15,1502
12/31/15,1149
1/1/16,428
1/2/16,401
1/3/16,515
1/4/16,599
1/5/16,1155
1/6/16,1141
1/7/16,940
1/8/16,961
1/9/16,640
1/10/16,476
1/11/16,905
1/12/16,36
1/13/16,405
1/14/16,878
1/15/16,1841
1/16/16,735
1/17/16,233
1/18/16,857
1/19/16,1687
1/20/16,1860
1/21/16,1421
1/22/16,1331
1/23/16,599
1/24/16,798
1/25/16,825
1/26/16,1591
1/27/16,3089
1/28/16,2450
1/29/16,3353
1/30/16,1722
1/31/16,1157
2/1/16,2014
2/2/16,2557
2/3/16,2419
2/4/16,1567
2/5/16,1647
2/6/16,988
2/7/16,1004
2/8/16,621
2/9/16,1416
2/10/16,2763
2/11/16,4302
2/12/16,1782
2/13/16,1626
2/14/16,1329
2/15/16,1346
2/16/16,1684
2/17/16,1298
2/18/16,1889
2/19/16,1456
2/20/16,1195
2/21/16,1854
2/22/16,1673
2/23/16,2179
2/24/16,2397
2/25/16,2551
2/26/16,3871
2/27/16,2576
2/28/16,1794
